title,slug,city,location_name,target_date,target_extreme,target_unit,station_id,resolution_source_url,source_domain,description,target_day_of_year,target_day_of_year_sin,target_day_of_year_cos,target_month,target_is_weekend,target_is_max,station_latitude,station_longitude,station_elevation_m,station_country,station_id_hash,source_domain_hash,has_station_coordinates,forecast_provider,forecast_temp_max_c,forecast_temp_min_c,forecast_temp_mean_c,forecast_temp_spread_c,forecast_hourly_count,observation_provider,latest_observation_temp_c,latest_observation_dewpoint_c,latest_observation_pressure_hpa,latest_observation_wind_speed_mps,observation_age_hours,station_verified,station_verification_reason,baseline_prediction_c,gbm_prediction_c,station_bias_c,corrected_prediction_c,bias_correction_applied,corrected_prediction_f,corrected_prediction_resolution_unit,corrected_prediction_resolution_value,model_name,created_at
Highest temperature in Shenzhen on May 10?,highest-temperature-in-shenzhen-on-may-10-2026,Shenzhen,Shenzhen Bao'an International,2026-05-10,max,celsius,ZGSZ,https://www.wunderground.com/history/daily/cn/shenzhen/ZGSZ,wunderground.com,"This market will resolve to the temperature range that contains the highest temperature recorded at the Shenzhen Bao'an International Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Shenzhen Bao'an International Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/cn/shenzhen/ZGSZ.

To toggle between Fahrenheit and Celsius, click the gear icon next to the search bar and switch the Temperature setting between °F and °C.

This market can not resolve to ""Yes"" until all data for this date has been finalized.

The resolution source for this market measures temperatures to whole degrees Celsius (eg, 9°C). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",130,0.7894179103280199,-0.6138561418226117,5,1,1,22.639,113.803,18.0,CN,7833,3181,1,open_meteo,27.4,22.0,24.3,5.399999999999999,24,,,,,,,1,station verified,27.4,27.413623387047053,-0.0037,27.417323387047052,1,81.3511820966847,celsius,27.417323387047052,sklearn_hist_gradient_boosting_bias_corrector,2026-05-10T21:45:28+00:00
Highest temperature in Chongqing on May 10?,highest-temperature-in-chongqing-on-may-10-2026,Chongqing,Chongqing Jiangbei International,2026-05-10,max,celsius,ZUCK,https://www.wunderground.com/history/daily/cn/chongqing/ZUCK,wunderground.com,"This market will resolve to the temperature range that contains the highest temperature recorded at the Chongqing Jiangbei International Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Chongqing Jiangbei International Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/cn/chongqing/ZUCK.

To toggle between Fahrenheit and Celsius, click the gear icon next to the search bar and switch the Temperature setting between °F and °C.

This market can not resolve to ""Yes"" until all data for this date has been finalized.

The resolution source for this market measures temperatures to whole degrees Celsius (eg, 9°C). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",130,0.7894179103280199,-0.6138561418226117,5,1,1,29.718,106.639,416.0,CN,9929,3181,1,open_meteo,24.8,15.1,20.0,9.7,24,,,,,,,1,station verified,24.8,24.791042275389195,0.0109,24.780142275389196,1,76.60425609570055,celsius,24.780142275389196,sklearn_hist_gradient_boosting_bias_corrector,2026-05-10T21:45:28+00:00
Highest temperature in Chengdu on May 10?,highest-temperature-in-chengdu-on-may-10-2026,Chengdu,Chengdu Shuangliu International,2026-05-10,max,celsius,ZUUU,https://www.wunderground.com/history/daily/cn/chengdu/ZUUU,wunderground.com,"This market will resolve to the temperature range that contains the highest temperature recorded at the Chengdu Shuangliu International Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Chengdu Shuangliu International Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/cn/chengdu/ZUUU.

To toggle between Fahrenheit and Celsius, click the gear icon next to the search bar and switch the Temperature setting between °F and °C.

This market can not resolve to ""Yes"" until all data for this date has been finalized.

The resolution source for this market measures temperatures to whole degrees Celsius (eg, 9°C). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",130,0.7894179103280199,-0.6138561418226117,5,1,1,30.576,103.95,494.0,CN,1001,3181,1,open_meteo,30.7,18.9,24.5,11.8,24,,,,,,,1,station verified,30.7,30.691901359840926,-0.009,30.700901359840927,1,87.26162244771368,celsius,30.700901359840927,sklearn_hist_gradient_boosting_bias_corrector,2026-05-10T21:45:28+00:00
Highest temperature in Sao Paulo on May 10?,highest-temperature-in-sao-paulo-on-may-10-2026,Sao Paulo,Sao Paulo-Guarulhos International,2026-05-10,max,celsius,SBGR,https://www.wunderground.com/history/daily/br/guarulhos/SBGR,wunderground.com,"This market will resolve to the temperature range that contains the highest temperature recorded at the Sao Paulo-Guarulhos International Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Sao Paulo-Guarulhos International Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/br/guarulhos/SBGR.

To toggle between Fahrenheit and Celsius, click the gear icon next to the search bar and switch the Temperature setting between °F and °C.

This market can not resolve to ""Yes"" until all data for this date has been finalized.

The resolution source for this market measures temperatures to whole degrees Celsius (eg, 9°C). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",130,0.7894179103280199,-0.6138561418226117,5,1,1,-23.432,-46.469,745.0,BR,251,3181,1,open_meteo,18.5,13.7,15.7,4.800000000000001,24,,,,,,,1,station verified,18.5,18.58886263966408,-0.0074,18.59626263966408,1,65.47327275139534,celsius,18.59626263966408,sklearn_hist_gradient_boosting_bias_corrector,2026-05-10T21:45:28+00:00
Highest temperature in Seoul on May 11?,highest-temperature-in-seoul-on-may-11-2026,Seoul,Incheon Intl,2026-05-11,max,celsius,RKSI,https://www.wunderground.com/history/daily/kr/incheon/RKSI,wunderground.com,"This market will resolve to the temperature range that contains the highest temperature recorded at the Incheon Intl Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Incheon Intl Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/kr/incheon/RKSI.

To toggle between Fahrenheit and Celsius, click the gear icon next to the search bar and switch the Temperature setting between °F and °C.

This market can not resolve to ""Yes"" until all data for this date has been finalized.

The resolution source for this market measures temperatures to whole degrees Celsius (eg, 9°C). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",131,0.7787639308347607,-0.6273170968742938,5,0,1,37.469,126.451,7.0,KR,0,3181,1,open_meteo,15.5,13.3,14.2,2.1999999999999993,24,,,,,,,1,station verified,15.5,19.84438632817478,-0.091,19.935386328174783,1,67.8836953907146,celsius,19.935386328174783,sklearn_hist_gradient_boosting_bias_corrector,2026-05-10T21:45:28+00:00
Highest temperature in Taipei on May 10?,highest-temperature-in-taipei-on-may-10-2026,Taipei,Taipei Songshan,2026-05-10,max,celsius,RCSS,https://www.wunderground.com/history/daily/tw/taipei/RCSS,wunderground.com,"This market will resolve to the temperature range that contains the highest temperature recorded at the Taipei Songshan Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Taipei Songshan Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/tw/taipei/RCSS.

To toggle between Fahrenheit and Celsius, click the gear icon next to the search bar and switch the Temperature setting between °F and °C.

This market can not resolve to ""Yes"" until all data for this date has been finalized.

The resolution source for this market measures temperatures to whole degrees Celsius (eg, 9°C). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",130,0.7894179103280199,-0.6138561418226117,5,1,1,25.069,121.552,8.0,TW,5295,3181,1,open_meteo,28.5,20.3,23.9,8.2,24,,,,,,,1,station verified,28.5,28.50242448751862,-0.0014,28.50382448751862,1,83.30688407753351,celsius,28.50382448751862,sklearn_hist_gradient_boosting_bias_corrector,2026-05-10T21:45:28+00:00
Highest temperature in Ankara on May 10?,highest-temperature-in-ankara-on-may-10-2026,Ankara,Esenboğa Intl,2026-05-10,max,celsius,LTAC,https://www.wunderground.com/history/daily/tr/%C3%A7ubuk/LTAC,wunderground.com,"This market will resolve to the temperature range that contains the highest temperature recorded at the Esenboğa Intl Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Esenboğa Intl Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/tr/%C3%A7ubuk/LTAC.

To toggle between Fahrenheit and Celsius, click the gear icon next to the search bar and switch the Temperature setting between °F and °C.

This market can not resolve to ""Yes"" until all data for this date has been finalized.

The resolution source for this market measures temperatures to whole degrees Celsius (eg, 9°C). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",130,0.7894179103280199,-0.6138561418226117,5,1,1,40.128,32.995,952.0,TR,9266,3181,1,open_meteo,21.8,10.2,15.5,11.6,24,,,,,,,1,station verified,21.8,21.989596138260044,-0.1501,22.139696138260042,1,71.85145304886808,celsius,22.139696138260042,sklearn_hist_gradient_boosting_bias_corrector,2026-05-10T21:45:28+00:00
Highest temperature in Singapore on May 10?,highest-temperature-in-singapore-on-may-10-2026,Singapore,Singapore Changi,2026-05-10,max,celsius,WSSS,https://www.wunderground.com/history/daily/sg/singapore/WSSS,wunderground.com,"This market will resolve to the temperature range that contains the highest temperature recorded at the Singapore Changi Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Singapore Changi Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/sg/singapore/WSSS.

To toggle between Fahrenheit and Celsius, click the gear icon next to the search bar and switch the Temperature setting between °F and °C.

This market can not resolve to ""Yes"" until all data for this date has been finalized.

The resolution source for this market measures temperatures to whole degrees Celsius (eg, 9°C). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",130,0.7894179103280199,-0.6138561418226117,5,1,1,1.368,103.982,17.0,SG,9398,3181,1,open_meteo,31.3,25.9,28.2,5.400000000000002,24,,,,,,,1,station verified,31.3,31.32160440925151,0.0042,31.31740440925151,1,88.3713279366527,celsius,31.31740440925151,sklearn_hist_gradient_boosting_bias_corrector,2026-05-10T21:45:28+00:00
Highest temperature in Amsterdam on May 10?,highest-temperature-in-amsterdam-on-may-10-2026,Amsterdam,Amsterdam,2026-05-10,max,celsius,EHAM,https://www.wunderground.com/history/daily/nl/schiphol/EHAM,wunderground.com,"This market will resolve to the temperature range that contains the highest temperature recorded at the Amsterdam Airport Schiphol Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Amsterdam Airport Schiphol Station once information is finalized, available here: https://www.wunderground.com/history/daily/nl/schiphol/EHAM.

To toggle between Fahrenheit and Celsius, click the gear icon next to the search bar and switch the Temperature setting between °F and °C.

This market can not resolve to ""Yes"" until all data for this date has been finalized.

The resolution source for this market measures temperatures to whole degrees Celsius (eg, 9°C). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",130,0.7894179103280199,-0.6138561418226117,5,1,1,52.315,4.79,-2.0,NL,5265,3181,1,open_meteo,18.3,10.9,14.1,7.4,24,,,,,,,1,station verified,18.3,17.574716896669013,0.3272,17.247516896669012,1,63.045530414004226,celsius,17.247516896669012,sklearn_hist_gradient_boosting_bias_corrector,2026-05-10T21:45:28+00:00
Highest temperature in Jakarta on May 10?,highest-temperature-in-jakarta-on-may-10-2026,Jakarta,Halim Perdanakusuma Intl,2026-05-10,max,celsius,WIHH,https://www.wunderground.com/history/daily/id/jakarta/WIHH,wunderground.com,"This market will resolve to the temperature range that contains the highest temperature recorded at the Halim Perdanakusuma Intl Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Halim Perdanakusuma Intl Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/id/jakarta/WIHH.

To toggle between Fahrenheit and Celsius, click the gear icon next to the search bar and switch the Temperature setting between °F and °C.

This market can not resolve to ""Yes"" until all data for this date has been finalized.

The resolution source for this market measures temperatures to whole degrees Celsius (eg, 9°C). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",130,0.7894179103280199,-0.6138561418226117,5,1,1,-6.267,106.891,26.0,ID,294,3181,1,open_meteo,33.7,23.6,28.2,10.1,24,,,,,,,1,station verified,33.7,33.71427746676057,0.0002,33.71407746676057,1,92.68533944016903,celsius,33.71407746676057,sklearn_hist_gradient_boosting_bias_corrector,2026-05-10T21:45:28+00:00
Highest temperature in Munich on May 10?,highest-temperature-in-munich-on-may-10-2026,Munich,Munich,2026-05-10,max,celsius,EDDM,https://www.wunderground.com/history/daily/de/munich/EDDM,wunderground.com,"This market will resolve to the temperature range that contains the highest temperature recorded at the Munich Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Munich Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/de/munich/EDDM.

To toggle between Fahrenheit and Celsius, click the gear icon next to the search bar and switch the Temperature setting between °F and °C.

This market can not resolve to ""Yes"" until all data for this date has been finalized.

The resolution source for this market measures temperatures to whole degrees Celsius (eg, 9°C). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",130,0.7894179103280199,-0.6138561418226117,5,1,1,48.348,11.813,445.0,DE,9820,3181,1,open_meteo,22.9,7.7,15.6,15.2,24,,,,,,,1,station verified,22.9,22.54015266295118,0.0272,22.51295266295118,1,72.52331479331212,celsius,22.51295266295118,sklearn_hist_gradient_boosting_bias_corrector,2026-05-10T21:45:28+00:00
