title,slug,city,location_name,target_date,target_extreme,target_unit,station_id,resolution_source_url,source_domain,description,target_day_of_year,target_day_of_year_sin,target_day_of_year_cos,target_month,target_is_weekend,target_is_max,station_latitude,station_longitude,station_elevation_m,station_country,station_id_hash,source_domain_hash,has_station_coordinates,forecast_provider,forecast_temp_max_c,forecast_temp_min_c,forecast_temp_mean_c,forecast_temp_spread_c,forecast_hourly_count,observation_provider,latest_observation_temp_c,latest_observation_dewpoint_c,latest_observation_pressure_hpa,latest_observation_wind_speed_mps,observation_age_hours,baseline_prediction_c,corrected_prediction_c,corrected_prediction_f,corrected_prediction_resolution_unit,corrected_prediction_resolution_value,model_name,created_at
Highest temperature in Jakarta on May 5?,highest-temperature-in-jakarta-on-may-5-2026,Jakarta,Halim Perdanakusuma Intl,2026-05-05,max,celsius,WIHH,https://www.wunderground.com/history/daily/id/jakarta/WIHH,wunderground.com,"This market will resolve to the temperature range that contains the highest temperature recorded at the Halim Perdanakusuma Intl Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Halim Perdanakusuma Intl Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/id/jakarta/WIHH.

To toggle between Fahrenheit and Celsius, click the gear icon next to the search bar and switch the Temperature setting between °F and °C.

This market can not resolve to ""Yes"" until all data for this date has been finalized.

The resolution source for this market measures temperatures to whole degrees Celsius (eg, 9°C). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",125,0.8391377545563939,-0.5439189543287246,5,0,1,-6.267,106.891,26.0,ID,294,3181,1,open_meteo,30.2,23.5,25.7,6.699999999999999,24,,,,,,,30.2,29.65229323576092,85.37412782436965,celsius,29.65229323576092,sklearn_hist_gradient_boosting_bias_corrector,2026-05-05T11:39:27+00:00
Highest temperature in NYC on May 5?,highest-temperature-in-nyc-on-may-5-2026,NYC,LaGuardia,2026-05-05,max,fahrenheit,KLGA,https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA,wunderground.com,"This market will resolve to the temperature range that contains the highest temperature recorded at the LaGuardia Airport Station in degrees Fahrenheit on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the LaGuardia Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA.

To toggle between Fahrenheit and Celsius, click the gear icon next to the search bar and switch the Temperature setting between °F and °C.

This market can not resolve to ""Yes"" until all data for this date has been finalized.

The resolution source for this market measures temperatures to whole degrees Fahrenheit (eg, 21°F). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",125,0.8391377545563939,-0.5439189543287246,5,0,1,40.77945,-73.88027,9.0,US,5879,3181,1,open_meteo,27.5,12.0,20.1,15.5,24,,,,,,,27.5,26.325149681642266,79.38526942695609,fahrenheit,79.38526942695609,sklearn_hist_gradient_boosting_bias_corrector,2026-05-05T11:39:27+00:00
Highest temperature in Qingdao on May 5?,highest-temperature-in-qingdao-on-may-5-2026,Qingdao,Qingdao Jiaodong International,2026-05-05,max,celsius,ZSQD,https://www.wunderground.com/history/daily/cn/qingdao/ZSQD,wunderground.com,"This market will resolve to the temperature range that contains the highest temperature recorded at the Qingdao Jiaodong International Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Qingdao Jiaodong International Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/cn/qingdao/ZSQD.

To toggle between Fahrenheit and Celsius, click the gear icon next to the search bar and switch the Temperature setting between °F and °C.

This market can not resolve to ""Yes"" until all data for this date has been finalized.

The resolution source for this market measures temperatures to whole degrees Celsius (eg, 9°C). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",125,0.8391377545563939,-0.5439189543287246,5,0,1,36.362,120.087,2.0,CN,5599,3181,1,open_meteo,24.1,11.6,17.6,12.500000000000002,24,,,,,,,24.1,23.370719689952676,74.06729544191481,celsius,23.370719689952676,sklearn_hist_gradient_boosting_bias_corrector,2026-05-05T11:39:27+00:00
Highest temperature in Busan on May 5?,highest-temperature-in-busan-on-may-5-2026,Busan,Gimhae Intl,2026-05-05,max,celsius,RKPK,https://www.wunderground.com/history/daily/kr/busan/RKPK,wunderground.com,"This market will resolve to the temperature range that contains the highest temperature recorded at the Gimhae Intl Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Gimhae Intl Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/kr/busan/RKPK.

To toggle between Fahrenheit and Celsius, click the gear icon next to the search bar and switch the Temperature setting between °F and °C.

This market can not resolve to ""Yes"" until all data for this date has been finalized.

The resolution source for this market measures temperatures to whole degrees Celsius (eg, 9°C). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",125,0.8391377545563939,-0.5439189543287246,5,0,1,35.179,128.938,3.0,KR,4318,3181,1,open_meteo,19.9,9.0,14.4,10.9,24,,,,,,,19.9,19.16877737890963,66.50379928203733,celsius,19.16877737890963,sklearn_hist_gradient_boosting_bias_corrector,2026-05-05T11:39:27+00:00
Lowest temperature in Seoul on May 5?,lowest-temperature-in-seoul-on-may-5-2026,Seoul,Incheon Intl,2026-05-05,min,celsius,RKSI,https://www.wunderground.com/history/daily/kr/incheon/RKSI,wunderground.com,"This market will resolve to the temperature range that contains the lowest temperature recorded at the Incheon Intl Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the lowest temperature recorded for all times on this day by the Forecast for the Incheon Intl Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/kr/incheon/RKSI.

To toggle between Fahrenheit and Celsius, click the gear icon next to the search bar and switch the Temperature setting between °F and °C.

This market can not resolve to ""Yes"" until all data for this date has been finalized.

The resolution source for this market measures temperatures to whole degrees Celsius (eg, 9°C). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",125,0.8391377545563939,-0.5439189543287246,5,0,0,37.469,126.451,7.0,KR,0,3181,1,open_meteo,13.9,11.1,12.3,2.8000000000000007,24,,,,,,,11.1,8.687764175757549,47.63797551636359,celsius,8.687764175757549,sklearn_hist_gradient_boosting_bias_corrector,2026-05-05T11:39:27+00:00
Highest temperature in Chongqing on May 5?,highest-temperature-in-chongqing-on-may-5-2026,Chongqing,Chongqing Jiangbei International,2026-05-05,max,celsius,ZUCK,https://www.wunderground.com/history/daily/cn/chongqing/ZUCK,wunderground.com,"This market will resolve to the temperature range that contains the highest temperature recorded at the Chongqing Jiangbei International Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Chongqing Jiangbei International Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/cn/chongqing/ZUCK.

To toggle between Fahrenheit and Celsius, click the gear icon next to the search bar and switch the Temperature setting between °F and °C.

This market can not resolve to ""Yes"" until all data for this date has been finalized.

The resolution source for this market measures temperatures to whole degrees Celsius (eg, 9°C). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",125,0.8391377545563939,-0.5439189543287246,5,0,1,29.718,106.639,416.0,CN,9929,3181,1,open_meteo,28.1,14.3,21.5,13.8,24,,,,,,,28.1,28.321685292737207,82.97903352692697,celsius,28.321685292737207,sklearn_hist_gradient_boosting_bias_corrector,2026-05-05T11:39:27+00:00
Highest temperature in Wellington on May 5?,highest-temperature-in-wellington-on-may-5-2026,Wellington,Wellington Intl,2026-05-05,max,celsius,NZWN,https://www.wunderground.com/history/daily/nz/wellington/NZWN,wunderground.com,"This market will resolve to the temperature range that contains the highest temperature recorded at the Wellington Intl Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Wellington Intl Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/nz/wellington/NZWN.

To toggle between Fahrenheit and Celsius, click the gear icon next to the search bar and switch the Temperature setting between °F and °C.

This market can not resolve to ""Yes"" until all data for this date has been finalized.

The resolution source for this market measures temperatures to whole degrees Celsius (eg, 9°C). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",125,0.8391377545563939,-0.5439189543287246,5,0,1,-41.331,174.806,12.0,NZ,9756,3181,1,open_meteo,15.3,13.2,14.1,2.1000000000000014,24,,,,,,,15.3,15.176654636817254,59.31797834627106,celsius,15.176654636817254,sklearn_hist_gradient_boosting_bias_corrector,2026-05-05T11:39:27+00:00
Highest temperature in Chengdu on May 5?,highest-temperature-in-chengdu-on-may-5-2026,Chengdu,Chengdu Shuangliu International,2026-05-05,max,celsius,ZUUU,https://www.wunderground.com/history/daily/cn/chengdu/ZUUU,wunderground.com,"This market will resolve to the temperature range that contains the highest temperature recorded at the Chengdu Shuangliu International Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Chengdu Shuangliu International Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/cn/chengdu/ZUUU.

To toggle between Fahrenheit and Celsius, click the gear icon next to the search bar and switch the Temperature setting between °F and °C.

This market can not resolve to ""Yes"" until all data for this date has been finalized.

The resolution source for this market measures temperatures to whole degrees Celsius (eg, 9°C). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",125,0.8391377545563939,-0.5439189543287246,5,0,1,30.576,103.95,494.0,CN,1001,3181,1,open_meteo,30.0,14.9,22.3,15.1,24,,,,,,,30.0,29.9625455171417,85.93258193085505,celsius,29.9625455171417,sklearn_hist_gradient_boosting_bias_corrector,2026-05-05T11:39:27+00:00
Highest temperature in Dallas on May 6?,highest-temperature-in-dallas-on-may-6-2026,Dallas,Dallas Love Field,2026-05-06,max,fahrenheit,KDAL,https://www.wunderground.com/history/daily/us/tx/dallas/KDAL,wunderground.com,"This market will resolve to the temperature range that contains the highest temperature recorded at the Dallas Love Field Station in degrees Fahrenheit on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Dallas Love Field Station once information is finalized, available here: https://www.wunderground.com/history/daily/us/tx/dallas/KDAL.

To toggle between Fahrenheit and Celsius, click the gear icon next to the search bar and switch the Temperature setting between °F and °C.

This market can not resolve to ""Yes"" until all data for this date has been finalized.

The resolution source for this market measures temperatures to whole degrees Fahrenheit (eg, 21°F). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",126,0.8296770135526188,-0.5582437220268649,5,0,1,32.83836,-96.83584,148.0,US,6884,3181,1,open_meteo,22.6,14.5,19.0,8.100000000000001,24,,,,,,,22.6,22.578893387332194,72.64200809719794,fahrenheit,72.64200809719794,sklearn_hist_gradient_boosting_bias_corrector,2026-05-05T11:39:27+00:00
Highest temperature in Wuhan on May 5?,highest-temperature-in-wuhan-on-may-5-2026,Wuhan,Wuhan Tianhe International,2026-05-05,max,celsius,ZHHH,https://www.wunderground.com/history/daily/cn/wuhan/ZHHH,wunderground.com,"This market will resolve to the temperature range that contains the highest temperature recorded at the Wuhan Tianhe International Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Wuhan Tianhe International Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/cn/wuhan/ZHHH.

To toggle between Fahrenheit and Celsius, click the gear icon next to the search bar and switch the Temperature setting between °F and °C.

This market can not resolve to ""Yes"" until all data for this date has been finalized.

The resolution source for this market measures temperatures to whole degrees Celsius (eg, 9°C). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",125,0.8391377545563939,-0.5439189543287246,5,0,1,30.783,114.205,33.0,CN,2447,3181,1,open_meteo,28.1,15.9,21.8,12.2,24,,,,,,,28.1,28.118494457805017,82.61329002404904,celsius,28.118494457805017,sklearn_hist_gradient_boosting_bias_corrector,2026-05-05T11:39:27+00:00
Highest temperature in Kuala Lumpur on May 5?,highest-temperature-in-kuala-lumpur-on-may-5-2026,Kuala Lumpur,Kuala Lumpur Intl,2026-05-05,max,celsius,WMKK,https://www.wunderground.com/history/daily/my/sepang-district/WMKK,wunderground.com,"This market will resolve to the temperature range that contains the highest temperature recorded at the Kuala Lumpur Intl Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Kuala Lumpur Intl Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/my/sepang-district/WMKK.

To toggle between Fahrenheit and Celsius, click the gear icon next to the search bar and switch the Temperature setting between °F and °C.

This market can not resolve to ""Yes"" until all data for this date has been finalized.

The resolution source for this market measures temperatures to whole degrees Celsius (eg, 9°C). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",125,0.8391377545563939,-0.5439189543287246,5,0,1,2.747,101.714,21.0,MY,7729,3181,1,open_meteo,32.7,23.4,27.1,9.300000000000004,24,,,,,,,32.7,32.73810922420547,90.92859660356984,celsius,32.73810922420547,sklearn_hist_gradient_boosting_bias_corrector,2026-05-05T11:39:27+00:00
Highest temperature in Taipei on May 5?,highest-temperature-in-taipei-on-may-5-2026,Taipei,Taipei Songshan,2026-05-05,max,celsius,RCSS,https://www.wunderground.com/history/daily/tw/taipei/RCSS,wunderground.com,"This market will resolve to the temperature range that contains the highest temperature recorded at the Taipei Songshan Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Taipei Songshan Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/tw/taipei/RCSS.

To toggle between Fahrenheit and Celsius, click the gear icon next to the search bar and switch the Temperature setting between °F and °C.

This market can not resolve to ""Yes"" until all data for this date has been finalized.

The resolution source for this market measures temperatures to whole degrees Celsius (eg, 9°C). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",125,0.8391377545563939,-0.5439189543287246,5,0,1,25.069,121.552,8.0,TW,5295,3181,1,open_meteo,22.3,17.2,19.9,5.100000000000001,24,,,,,,,22.3,22.678648377937527,72.82156708028755,celsius,22.678648377937527,sklearn_hist_gradient_boosting_bias_corrector,2026-05-05T11:39:27+00:00
