title,slug,city,location_name,target_date,target_extreme,target_unit,station_id,resolution_source_url,source_domain,description,target_day_of_year,target_day_of_year_sin,target_day_of_year_cos,target_month,target_is_weekend,target_is_max,station_latitude,station_longitude,station_elevation_m,station_country,station_id_hash,source_domain_hash,has_station_coordinates,forecast_provider,forecast_temp_max_c,forecast_temp_min_c,forecast_temp_mean_c,forecast_temp_spread_c,forecast_hourly_count,observation_provider,latest_observation_temp_c,latest_observation_dewpoint_c,latest_observation_pressure_hpa,latest_observation_wind_speed_mps,observation_age_hours,station_verified,station_verification_reason,baseline_prediction_c,corrected_prediction_c,corrected_prediction_f,corrected_prediction_resolution_unit,corrected_prediction_resolution_value,model_name,created_at
Highest temperature in Shenzhen on May 10?,highest-temperature-in-shenzhen-on-may-10-2026,Shenzhen,Shenzhen Bao'an International,2026-05-10,max,celsius,ZGSZ,https://www.wunderground.com/history/daily/cn/shenzhen/ZGSZ,wunderground.com,"This market will resolve to the temperature range that contains the highest temperature recorded at the Shenzhen Bao'an International Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Shenzhen Bao'an International Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/cn/shenzhen/ZGSZ.

To toggle between Fahrenheit and Celsius, click the gear icon next to the search bar and switch the Temperature setting between °F and °C.

This market can not resolve to ""Yes"" until all data for this date has been finalized.

The resolution source for this market measures temperatures to whole degrees Celsius (eg, 9°C). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",130,0.7894179103280199,-0.6138561418226117,5,1,1,22.639,113.803,18.0,CN,7833,3181,1,open_meteo,27.4,22.0,24.3,5.399999999999999,24,,,,,,,1,station verified,27.4,27.709092534151843,81.87636656147332,celsius,27.709092534151843,sklearn_hist_gradient_boosting_bias_corrector,2026-05-10T19:02:49+00:00
Highest temperature in Chongqing on May 10?,highest-temperature-in-chongqing-on-may-10-2026,Chongqing,Chongqing Jiangbei International,2026-05-10,max,celsius,ZUCK,https://www.wunderground.com/history/daily/cn/chongqing/ZUCK,wunderground.com,"This market will resolve to the temperature range that contains the highest temperature recorded at the Chongqing Jiangbei International Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Chongqing Jiangbei International Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/cn/chongqing/ZUCK.

To toggle between Fahrenheit and Celsius, click the gear icon next to the search bar and switch the Temperature setting between °F and °C.

This market can not resolve to ""Yes"" until all data for this date has been finalized.

The resolution source for this market measures temperatures to whole degrees Celsius (eg, 9°C). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",130,0.7894179103280199,-0.6138561418226117,5,1,1,29.718,106.639,416.0,CN,9929,3181,1,open_meteo,24.8,15.1,20.0,9.7,24,,,,,,,1,station verified,24.8,25.16843817526491,77.30318871547684,celsius,25.16843817526491,sklearn_hist_gradient_boosting_bias_corrector,2026-05-10T19:02:49+00:00
Highest temperature in Chengdu on May 10?,highest-temperature-in-chengdu-on-may-10-2026,Chengdu,Chengdu Shuangliu International,2026-05-10,max,celsius,ZUUU,https://www.wunderground.com/history/daily/cn/chengdu/ZUUU,wunderground.com,"This market will resolve to the temperature range that contains the highest temperature recorded at the Chengdu Shuangliu International Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Chengdu Shuangliu International Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/cn/chengdu/ZUUU.

To toggle between Fahrenheit and Celsius, click the gear icon next to the search bar and switch the Temperature setting between °F and °C.

This market can not resolve to ""Yes"" until all data for this date has been finalized.

The resolution source for this market measures temperatures to whole degrees Celsius (eg, 9°C). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",130,0.7894179103280199,-0.6138561418226117,5,1,1,30.576,103.95,494.0,CN,1001,3181,1,open_meteo,30.7,18.9,24.5,11.8,24,,,,,,,1,station verified,30.7,30.85156390949463,87.53281503709033,celsius,30.85156390949463,sklearn_hist_gradient_boosting_bias_corrector,2026-05-10T19:02:49+00:00
Highest temperature in Sao Paulo on May 10?,highest-temperature-in-sao-paulo-on-may-10-2026,Sao Paulo,Sao Paulo-Guarulhos International,2026-05-10,max,celsius,SBGR,https://www.wunderground.com/history/daily/br/guarulhos/SBGR,wunderground.com,"This market will resolve to the temperature range that contains the highest temperature recorded at the Sao Paulo-Guarulhos International Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Sao Paulo-Guarulhos International Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/br/guarulhos/SBGR.

To toggle between Fahrenheit and Celsius, click the gear icon next to the search bar and switch the Temperature setting between °F and °C.

This market can not resolve to ""Yes"" until all data for this date has been finalized.

The resolution source for this market measures temperatures to whole degrees Celsius (eg, 9°C). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",130,0.7894179103280199,-0.6138561418226117,5,1,1,-23.432,-46.469,745.0,BR,251,3181,1,open_meteo,18.5,13.7,15.7,4.800000000000001,24,,,,,,,1,station verified,18.5,17.876056340222544,64.17690141240058,celsius,17.876056340222544,sklearn_hist_gradient_boosting_bias_corrector,2026-05-10T19:02:49+00:00
Highest temperature in Seoul on May 11?,highest-temperature-in-seoul-on-may-11-2026,Seoul,Incheon Intl,2026-05-11,max,celsius,RKSI,https://www.wunderground.com/history/daily/kr/incheon/RKSI,wunderground.com,"This market will resolve to the temperature range that contains the highest temperature recorded at the Incheon Intl Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Incheon Intl Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/kr/incheon/RKSI.

To toggle between Fahrenheit and Celsius, click the gear icon next to the search bar and switch the Temperature setting between °F and °C.

This market can not resolve to ""Yes"" until all data for this date has been finalized.

The resolution source for this market measures temperatures to whole degrees Celsius (eg, 9°C). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",131,0.7787639308347607,-0.6273170968742938,5,0,1,37.469,126.451,7.0,KR,0,3181,1,open_meteo,15.5,13.3,14.2,2.1999999999999993,24,,,,,,,1,station verified,15.5,19.77420505598746,67.59356910077743,celsius,19.77420505598746,sklearn_hist_gradient_boosting_bias_corrector,2026-05-10T19:02:49+00:00
Highest temperature in Taipei on May 10?,highest-temperature-in-taipei-on-may-10-2026,Taipei,Taipei Songshan,2026-05-10,max,celsius,RCSS,https://www.wunderground.com/history/daily/tw/taipei/RCSS,wunderground.com,"This market will resolve to the temperature range that contains the highest temperature recorded at the Taipei Songshan Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Taipei Songshan Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/tw/taipei/RCSS.

To toggle between Fahrenheit and Celsius, click the gear icon next to the search bar and switch the Temperature setting between °F and °C.

This market can not resolve to ""Yes"" until all data for this date has been finalized.

The resolution source for this market measures temperatures to whole degrees Celsius (eg, 9°C). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",130,0.7894179103280199,-0.6138561418226117,5,1,1,25.069,121.552,8.0,TW,5295,3181,1,open_meteo,28.5,20.3,23.9,8.2,24,,,,,,,1,station verified,28.5,28.258314238521162,82.86496562933809,celsius,28.258314238521162,sklearn_hist_gradient_boosting_bias_corrector,2026-05-10T19:02:49+00:00
Highest temperature in Ankara on May 10?,highest-temperature-in-ankara-on-may-10-2026,Ankara,Esenboğa Intl,2026-05-10,max,celsius,LTAC,https://www.wunderground.com/history/daily/tr/%C3%A7ubuk/LTAC,wunderground.com,"This market will resolve to the temperature range that contains the highest temperature recorded at the Esenboğa Intl Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Esenboğa Intl Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/tr/%C3%A7ubuk/LTAC.

To toggle between Fahrenheit and Celsius, click the gear icon next to the search bar and switch the Temperature setting between °F and °C.

This market can not resolve to ""Yes"" until all data for this date has been finalized.

The resolution source for this market measures temperatures to whole degrees Celsius (eg, 9°C). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",130,0.7894179103280199,-0.6138561418226117,5,1,1,40.128,32.995,952.0,TR,9266,3181,1,open_meteo,21.8,10.2,15.5,11.6,24,,,,,,,1,station verified,21.8,21.103496316681838,69.98629337002731,celsius,21.103496316681838,sklearn_hist_gradient_boosting_bias_corrector,2026-05-10T19:02:49+00:00
Highest temperature in Singapore on May 10?,highest-temperature-in-singapore-on-may-10-2026,Singapore,Singapore Changi,2026-05-10,max,celsius,WSSS,https://www.wunderground.com/history/daily/sg/singapore/WSSS,wunderground.com,"This market will resolve to the temperature range that contains the highest temperature recorded at the Singapore Changi Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Singapore Changi Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/sg/singapore/WSSS.

To toggle between Fahrenheit and Celsius, click the gear icon next to the search bar and switch the Temperature setting between °F and °C.

This market can not resolve to ""Yes"" until all data for this date has been finalized.

The resolution source for this market measures temperatures to whole degrees Celsius (eg, 9°C). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",130,0.7894179103280199,-0.6138561418226117,5,1,1,1.368,103.982,17.0,SG,9398,3181,1,open_meteo,31.3,25.9,28.2,5.400000000000002,24,,,,,,,1,station verified,31.3,31.272449617387814,88.29040931129806,celsius,31.272449617387814,sklearn_hist_gradient_boosting_bias_corrector,2026-05-10T19:02:49+00:00
Highest temperature in Amsterdam on May 10?,highest-temperature-in-amsterdam-on-may-10-2026,Amsterdam,Amsterdam,2026-05-10,max,celsius,EHAM,https://www.wunderground.com/history/daily/nl/schiphol/EHAM,wunderground.com,"This market will resolve to the temperature range that contains the highest temperature recorded at the Amsterdam Airport Schiphol Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Amsterdam Airport Schiphol Station once information is finalized, available here: https://www.wunderground.com/history/daily/nl/schiphol/EHAM.

To toggle between Fahrenheit and Celsius, click the gear icon next to the search bar and switch the Temperature setting between °F and °C.

This market can not resolve to ""Yes"" until all data for this date has been finalized.

The resolution source for this market measures temperatures to whole degrees Celsius (eg, 9°C). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",130,0.7894179103280199,-0.6138561418226117,5,1,1,52.315,4.79,-2.0,NL,5265,3181,1,open_meteo,18.3,10.9,14.1,7.4,24,,,,,,,1,station verified,18.3,17.01129762755582,62.62033572960048,celsius,17.01129762755582,sklearn_hist_gradient_boosting_bias_corrector,2026-05-10T19:02:49+00:00
Highest temperature in Jakarta on May 10?,highest-temperature-in-jakarta-on-may-10-2026,Jakarta,Halim Perdanakusuma Intl,2026-05-10,max,celsius,WIHH,https://www.wunderground.com/history/daily/id/jakarta/WIHH,wunderground.com,"This market will resolve to the temperature range that contains the highest temperature recorded at the Halim Perdanakusuma Intl Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Halim Perdanakusuma Intl Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/id/jakarta/WIHH.

To toggle between Fahrenheit and Celsius, click the gear icon next to the search bar and switch the Temperature setting between °F and °C.

This market can not resolve to ""Yes"" until all data for this date has been finalized.

The resolution source for this market measures temperatures to whole degrees Celsius (eg, 9°C). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",130,0.7894179103280199,-0.6138561418226117,5,1,1,-6.267,106.891,26.0,ID,294,3181,1,open_meteo,33.7,23.6,28.2,10.1,24,,,,,,,1,station verified,33.7,32.57346335071561,90.6322340312881,celsius,32.57346335071561,sklearn_hist_gradient_boosting_bias_corrector,2026-05-10T19:02:49+00:00
Highest temperature in Munich on May 10?,highest-temperature-in-munich-on-may-10-2026,Munich,Munich,2026-05-10,max,celsius,EDDM,https://www.wunderground.com/history/daily/de/munich/EDDM,wunderground.com,"This market will resolve to the temperature range that contains the highest temperature recorded at the Munich Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Munich Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/de/munich/EDDM.

To toggle between Fahrenheit and Celsius, click the gear icon next to the search bar and switch the Temperature setting between °F and °C.

This market can not resolve to ""Yes"" until all data for this date has been finalized.

The resolution source for this market measures temperatures to whole degrees Celsius (eg, 9°C). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",130,0.7894179103280199,-0.6138561418226117,5,1,1,48.348,11.813,445.0,DE,9820,3181,1,open_meteo,22.9,7.7,15.6,15.2,24,,,,,,,1,station verified,22.9,21.76944114131483,71.18499405436668,celsius,21.76944114131483,sklearn_hist_gradient_boosting_bias_corrector,2026-05-10T19:02:49+00:00
Highest temperature in Cape Town on May 10?,highest-temperature-in-cape-town-on-may-10-2026,Cape Town,Cape Town International,2026-05-10,max,celsius,FACT,https://www.wunderground.com/history/daily/za/matroosfontein/FACT,wunderground.com,"This market will resolve to the temperature range that contains the highest temperature recorded at the Cape Town International Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Cape Town International Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/za/matroosfontein/FACT.

To toggle between Fahrenheit and Celsius, click the gear icon next to the search bar and switch the Temperature setting between °F and °C.

This market can not resolve to ""Yes"" until all data for this date has been finalized.

The resolution source for this market measures temperatures to whole degrees Celsius (eg, 9°C). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",130,0.7894179103280199,-0.6138561418226117,5,1,1,-33.965,18.602,48.0,ZA,6717,3181,1,open_meteo,13.8,9.6,11.5,4.200000000000001,24,,,,,,,1,station verified,13.8,13.747800005367854,56.74604000966214,celsius,13.747800005367854,sklearn_hist_gradient_boosting_bias_corrector,2026-05-10T19:02:49+00:00
